+--------+-----------+----------------+-----------------+---------------+
|   id   |   name    |  phone_number  | passport_number | license_plate |
+--------+-----------+----------------+-----------------+---------------+
| 205082 | Pamela    | (113) 555-7544 | 1050247273      | 5CIO816       |
| 210245 | Jordan    | (328) 555-9658 | 7951366683      | HW0488P       |
| 210641 | Heather   | (502) 555-6712 | 4356447308      |               |
| 251693 | Larry     | (892) 555-8872 | 2312901747      | O268ZZ0       |
| 253397 | Kristina  | (918) 555-2946 | 6131360461      | P743G7C       |
| 325548 | Brandon   | (771) 555-6667 | 7874488539      | R3G7486       |
| 341739 | Rebecca   | (891) 555-5672 | 6264773605      |               |
| 354903 | Marilyn   | (568) 555-3190 | 7441135547      | 0R0FW39       |
| 395717 | Kenny     | (826) 555-1652 | 9878712108      | 30G67EN       |
| 398010 | Sofia     | (130) 555-0289 | 1695452385      | G412CB7       |
| 423393 | Carol     | (168) 555-6126 | 6128131458      | 81MNC9R       |
| 447494 | Dennis    |                | 4149859587      |               |
| 449774 | Taylor    | (286) 555-6063 | 1988161715      | 1106N58       |
| 458378 | Brooke    | (122) 555-4581 | 4408372428      | QX4YZN3       |
| 467400 | Luca      | (389) 555-5198 | 8496433585      | 4328GD8       |
| 514354 | Diana     | (770) 555-1861 | 3592750733      | 322W7JE       |
| 542503 | Michael   | (529) 555-7276 | 6117294637      | HOD8639       |
| 560886 | Kelsey    | (499) 555-9472 | 8294398571      | 0NTHK55       |
| 619074 | Matthew   |                | 4195341387      | 31GVT84       |
| 626361 | Melissa   | (717) 555-1342 | 7834357192      |               |
| 651714 | Edward    | (328) 555-1152 | 1540955065      | 130LD9Z       |
| 660982 | Thomas    | (286) 555-0131 | 6034823042      | WD5M8I6       |
| 676919 | Steven    | (195) 555-4173 | 1151340634      | 5VFD6G0       |
| 677698 | John      | (016) 555-9166 | 8174538026      | 4468KVT       |
| 682850 | Ethan     | (594) 555-6254 | 2996517496      | NAW9653       |
| 686048 | Bruce     | (367) 555-5533 | 5773159633      | 94KL13X       |
| 710572 | Richard   |                | 7894166154      | 20Q418R       |
| 745650 | Sophia    | (027) 555-1068 | 3642612721      | 13FNH73       |
| 750165 | Daniel    | (971) 555-6468 | 7597790505      | FLFN3W0       |
| 753885 | Jennifer  | (911) 555-0229 | 7378796210      | 1K44SN8       |
| 757606 | Douglas   | (491) 555-2505 | 3231999695      | 1FW4EUJ       |
| 769190 | Charles   | (427) 555-0556 | 3915621712      | R12SA4D       |
| 788213 | Emily     | (406) 555-4440 | 6263461050      | Y340743       |
| 788911 | Gloria    | (973) 555-3809 | 2835165196      | O010420       |
| 809265 | Jose      | (914) 555-5994 | 9183348466      |               |
| 952462 | Christian |                | 2626335085      | 6CV51G1       |
| 953679 | Doris     | (066) 555-9701 | 7214083635      | M51FA04       |
+--------+-----------+----------------+-----------------+---------------+
